KO ID	Pathway
K00111 glpA; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	map00564 Glycerophospholipid metabolism
K00655 plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	map00564 Glycerophospholipid metabolism
K00981 E2.7.7.41; phosphatidate cytidylyltransferase [EC:2.7.7.41]	map00564 Glycerophospholipid metabolism
K00995 PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	map00564 Glycerophospholipid metabolism
K01126 E3.1.4.46; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	map00564 Glycerophospholipid metabolism
K08591 plsY; acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	map00564 Glycerophospholipid metabolism
K01255 CARP; leucyl aminopeptidase [EC:3.4.11.1]	Others
K01259 pip; proline iminopeptidase [EC:3.4.11.5]	Others
K06949 rsgA; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	Others
K11717 sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	Others
K00997 acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	Others
K01478 arcA; arginine deiminase [EC:3.5.3.6]	Others
K02078 acpP; acyl carrier protein	Others
K06881 nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	Others
K00611 OTC; ornithine carbamoyltransferase [EC:2.1.3.3]	Others
K00859 coaE; dephospho-CoA kinase [EC:2.7.1.24]	Others
K03151 thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	Others
K11753 ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	Others
K00009 mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	Others
K03550 ruvA; holliday junction DNA helicase RuvA	Others
K03551 ruvB; holliday junction DNA helicase RuvB [EC:5.6.2.4]	Others
K03553 recA; recombination protein RecA	Others
K03101 lspA; signal peptidase II [EC:3.4.23.36]	Others
K01619 deoC; deoxyribose-phosphate aldolase [EC:4.1.2.4]	Others
K00789 metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	Others
K03800 lplA; lipoate---protein ligase [EC:6.3.1.20]	Others
K00864 glpK; glycerol kinase [EC:2.7.1.30]	Others
K03621 plsX; phosphate acyltransferase [EC:2.3.1.274]	Others
K19004 processive 1	Others
K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]	Others
K01151 nfo; deoxyribonuclease IV [EC:3.1.21.2]	Others
K03648 UNG; uracil-DNA glycosylase [EC:3.2.2.27]	Others
K10563 mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	Others
K01840 manB; phosphomannomutase [EC:5.4.2.8]	Others
K00287 DHFR; dihydrofolate reductase [EC:1.5.1.3]	Others
K01934 MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	Others
K01338 lon; ATP-dependent Lon protease [EC:3.4.21.53]	Others
K02313 dnaA; chromosomal replication initiator protein	Others
K03531 ftsZ; cell division protein FtsZ	Others
K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	Others
K01784 galE; UDP-glucose 4-epimerase [EC:5.1.3.2]	Others
K01854 glf; UDP-galactopyranose mutase [EC:5.4.99.9]	Others
